,Event.Id,Investigation.Type,Accident.Number,Event.Date,Location,Country,Latitude,Longitude,Injury.Severity,Aircraft.damage,Aircraft.Category,Registration.Number,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,FAR.Description,Air.carrier,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Weather.Condition,Report.Status,Publication.Date
71951,20120619X85512,Accident,ERA12CA402,2012-06-09,"Blairs, VA",United States,364412N,0792145W,Non-Fatal,Substantial,Airplane,N2067,AERONCA,7AC,No,1.0,Reciprocating,091,GIBBS EDWARD L,0.0,0.0,0.0,Visual Meteorological Conditions,The pilot's failure to maintain directional control during a takeoff into sun glare.,2020-09-25
71953,20120611X94825,Accident,CEN12LA350,2012-06-10,"Kremmling, CO",United States,040312N,0106228W,Non-Fatal,Substantial,Airplane,N8VX,GRIFFITHS JAMES SYDNEY,Kokopelli SuperPacer,Yes,1.0,Reciprocating,091,GRIFFITHS JAMES SYDNEY,0.0,0.0,0.0,Visual Meteorological Conditions,"The low spring tension of the rudder and tailwheel cable, which resulted in the loss of control as the airplane decelerated after landing.",2020-09-25
71955,20120612X50927,Accident,CEN12LA359,2012-06-10,"Santa Teresa, NM",United States,315249N,1064211W,Non-Fatal,Substantial,Helicopter,N744JS,ROBINSON HELICOPTER COMPANY,R44 II,No,1.0,Reciprocating,091,S M HENTGES & SONS INC,0.0,0.0,0.0,Visual Meteorological Conditions,"The sudden decrease in headwind during takeoff in a gusty wind and near a passing train, which resulted in a loss of lift and main rotor rpm. Contributing to the accident was the pilot's decision to operate the helicopter near its maximum performance capability (near gross weight at high density altitude), which resulted in a lack of reserve power available to compensate for the wind change.",2020-09-25
71956,20120612X61430,Accident,CEN12CA361,2012-06-10,"Moscow Mills, MO",United States,038546N,0905737W,Non-Fatal,Substantial,Airplane,N3736R,CESSNA,172H,No,1.0,Reciprocating,091,Sydney Grgurich,0.0,0.0,0.0,Visual Meteorological Conditions,"The pilot's failure to maintain control of the airplane during takeoff in a gusty crosswind, which resulted in a runway excursion.",2020-09-25
71957,20120611X14110,Accident,WPR12LA256,2012-06-11,"Riverton, WY",United States,004330N,0108270W,Non-Fatal,Substantial,Airplane,N70WY,AYRES,S2R-G6,No,1.0,Turbo Prop,137,Sky Aviation,0.0,0.0,0.0,Visual Meteorological Conditions,An engine overspeed shortly after takeoff for reasons that could not be determined because postaccident examination revealed no mechanical malfunctions or failures that would have precluded normal operation.,2020-09-25
71961,20120613X31642,Accident,ERA12CA393,2012-06-11,"Delmar, DE",United States,382740N,0753652W,Non-Fatal,Substantial,Airplane,N7055K,NORTH AMERICAN,AT-6C,No,1.0,Reciprocating,091,Wayne E. Bailey,0.0,0.0,0.0,Visual Meteorological Conditions,"The pilot's failure to go around after not attaining the proper touchdown point, which resulted in a runway excursion and noseover.",2020-09-25
71962,20120612X20331,Accident,WPR12LA259,2012-06-12,"East Wenatchee, WA",United States,472433N,1201459W,Fatal,Substantial,Helicopter,N282MC,ROBINSON HELICOPTER COMPANY,R44 II,No,1.0,Reciprocating,091,"DRAGONFLY AVIATION, LLC",1.0,0.0,1.0,Visual Meteorological Conditions,"The pilots failure to adequately monitor the environment and maintain clearance from the power lines while maneuvering at low altitude. ",2020-09-25
71963,20120612X53221,Accident,CEN12LA362,2012-06-12,"Mt. Vernon, MO",United States,365726N,0934126W,Non-Fatal,Substantial,Airplane,N2510B,PIPER,PA-38-112,No,1.0,Reciprocating,091,BIELLIER DAVE H,0.0,0.0,1.0,Visual Meteorological Conditions,"The pilots decision to continue the landing on a short grass runway with a tailwind after touching down beyond the touchdown point, and his subsequent failure to stop the airplane before colliding with trees off the end of that runway. Contributing to the accident was the pilot's lack of recent flight experience.",2020-09-25
71964,20120612X55857,Accident,WPR12CA258,2012-06-12,"Warner Springs, CA",United States,033174N,1164029W,Non-Fatal,Substantial,Glider,N921BR,STEMME GMBH & CO,S10-VT,No,1.0,Reciprocating,091,George Klopfer,0.0,0.0,0.0,Visual Meteorological Conditions,The pilots failure to maintain directional control while landing in a gusting crosswind.,2020-09-25
71969,20120614X65421,Accident,WPR12LA263,2012-06-13,"Winnett, MT",United States,047043N,1082113W,Non-Fatal,Substantial,Airplane,CG-ZVF,CESSNA,A185F,No,1.0,Reciprocating,091,Robin Johnson,0.0,0.0,0.0,Visual Meteorological Conditions,"A momentary loss of engine power, which led to an emergency descent at night during which the airplane collided with a wire. The reason for the loss of engine power could not be determined because postaccident examination and operation did not reveal any anomalies that would have precluded normal operation.",2020-09-25
71970,20120614X84708,Accident,ERA12LA394,2012-06-13,"Ocilla, GA",United States,313421N,0832633W,Non-Fatal,Substantial,Airplane,N9238J,PIPER,PA-28-180,No,1.0,Reciprocating,091,Edward M. Butler II,0.0,1.0,0.0,Visual Meteorological Conditions,"A failure of the No. 2 cylinder connecting rod due to a lack of lubrication, which resulted in a total loss of engine power.",2020-09-25
71971,20120614X42820,Accident,ANC12LA051,2012-06-14,"Talkeetna, AK",United States,062210N,0150170W,Non-Fatal,Substantial,Airplane,N121KT,DEHAVILLAND,DHC-2,No,1.0,Reciprocating,135,RUSTAIR INC,0.0,0.0,0.0,Visual Meteorological Conditions,The loss of engine power after departure due to the separation of an engine cylinder.,2020-09-25
71972,20120615X04516,Accident,CEN12CA370,2012-06-14,"Erie, CO",United States,040037N,0105253W,Non-Fatal,Substantial,Airplane,N617EV,Evektor-Aerotechnik AS,Sportstar Plus,No,1.0,Reciprocating,091,Sky Raider Aviation,0.0,2.0,0.0,Visual Meteorological Conditions,"The student pilots improper performance of a soft field takeoff procedure, which resulted in a loss of airplane control, and the flight instructors delayed remedial action to correct the situation.",2020-09-25
71973,20120615X41333,Accident,CEN12CA372,2012-06-14,"Alpine, TX",United States,030232N,0103410W,Non-Fatal,Substantial,Airplane,N4630F,CESSNA,TP206A,No,1.0,Reciprocating,091,UTAH STATE UNIVERSITY,0.0,0.0,0.0,Visual Meteorological Conditions,"The pilots failure to maintain directional control during the landing roll in gusting wind conditions, which resulted in a runway excursion.",2020-09-25
71974,20120615X55556,Accident,ERA12CA396,2012-06-14,"Gulf Shores, AL",United States,301722N,0874018W,Non-Fatal,Substantial,Airplane,N9119U,CESSNA,150M,No,1.0,Reciprocating,091,Galdieri Aviation,0.0,0.0,0.0,Visual Meteorological Conditions,"The student pilot's improper flight control inputs and the flight instructor's delayed remedial action during the attempted go-around, which resulted in an aerodynamic stall.",2020-09-25
71975,20120616X00943,Accident,ERA12LA399,2012-06-14,"Oak Island, NC",United States,335336N,0078454W,Non-Fatal,Substantial,Helicopter,N1089N,ROBINSON HELICOPTER COMPANY,R22 MARINER,No,1.0,Reciprocating,091,WATERCRAFT PHOTO HELICOPTER LLC,0.0,0.0,0.0,Visual Meteorological Conditions,"The pilot's failure to properly execute the helicopter practice autorotation recovery, which resulted in a collision with the water.",2020-09-25
71977,20120620X94522,Incident,CEN12IA383,2012-06-15,"Ozark, MO",United States,038546N,0923258W,Non-Fatal,Minor,Airplane,N305LX,CESSNA,560,No,2.0,Turbo Fan,135,"Aero Charter, Inc",0.0,0.0,0.0,Visual Meteorological Conditions,The airplanes collision with a deer during the landing roll.,2020-09-25
71978,20120615X01834,Accident,ERA12LA397,2012-06-15,"Biddeford, ME",United States,432515N,0703019W,Non-Fatal,Substantial,Airplane,N3812V,CESSNA,170,No,1.0,Reciprocating,091,HART WILLIAM C,0.0,2.0,0.0,Visual Meteorological Conditions,A total loss of engine power due to water contamination of the fuel. Contributing to the accident was the pilot/owners inadequate preflight inspection.,2020-09-25
71980,20120618X11856,Accident,CEN12CA375,2012-06-15,"Ipswich, SD",United States,045277N,0099036W,Non-Fatal,Substantial,Airplane,N45379,AIR TRACTOR INC,AT-502,No,1.0,Turbo Prop,137,TRI-COUNTY AG SERVICE INC,0.0,0.0,0.0,Visual Meteorological Conditions,"The pilot's failure to abort the takeoff, which resulted in a runway excursion.",2020-09-25
71983,20120627X01450,Accident,ERA12CA416,2012-06-15,"Churchville, MD",United States,039340N,0076125W,Non-Fatal,Substantial,Airplane,N73134,CESSNA,172M,No,1.0,Reciprocating,091,CK LEASING SERVICES LLC,0.0,0.0,0.0,Visual Meteorological Conditions,"The tractor operator's failure to confirm the landing airplane's position before entering an active runway, which resulted in a ground collision.",2020-09-25
71985,20120616X63751,Accident,WPR12CA266,2012-06-16,"Meadow Creek, MT",United States,475057N,0113252W,Non-Fatal,Substantial,Airplane,N2424X,CESSNA,182H,No,1.0,Reciprocating,091,David Dickey,0.0,0.0,0.0,Visual Meteorological Conditions,"The pilot's misjudged approach and improper landing flare, which resulted in a hard landing.",2020-09-25
71989,20120619X90522,Accident,ERA12LA405,2012-06-16,"Miami, FL",United States,025399N,0803130W,Non-Fatal,Substantial,Airplane,N67324,CESSNA,152,No,1.0,Reciprocating,091,Dean International Flight School,0.0,0.0,0.0,Visual Meteorological Conditions,"The pilots operation of the airplane with an insufficient supply of engine oil, resulting in engine seizure and total loss of engine power.",2020-09-25
71990,20120620X02221,Accident,CEN12LA384,2012-06-16,"Lake Dallas, TX",United States,033732N,0097031W,Non-Fatal,Substantial,Airplane,N76NP,PETERSON-FEDER-SPLINTER,STARDUSTER TOO,Yes,1.0,Reciprocating,091,MCMEANS TOMMIE D,0.0,2.0,0.0,Visual Meteorological Conditions,A partial loss of engine power on takeoff due to a stuck intake valve on the No. 2 cylinder.,2020-09-25
71992,20120618X85849,Accident,WPR12LA267,2012-06-17,"Scottsdale, AZ",United States,334014N,1114015W,Non-Fatal,Substantial,Helicopter,N808WH,ROBINSON HELICOPTER COMPANY,R44 II,No,1.0,Reciprocating,091,SkyBlue Helicopters,0.0,1.0,0.0,Visual Meteorological Conditions,"The flight instructors failure to maintain adequate rotor rpm during a practice autorotation, which resulted in a loss of helicopter control and subsequent hard landing.
",2020-09-25
71993,20120618X91331,Accident,WPR12CA268,2012-06-17,"Woodland, CA",United States,384025N,1215219W,Non-Fatal,Substantial,Airplane,N7437Q,CESSNA,182P,No,1.0,Reciprocating,091,Brent Noble,0.0,1.0,0.0,Visual Meteorological Conditions,"The pilot's failure to maintain a proper descent path during the approach to land, which resulted in a hard, bounced landing, and his improper retraction of the flaps during the subsequent attempted go-around.",2020-09-25
71994,20120619X42932,Accident,ANC12CA053,2012-06-17,"Skwentna, AK",United States,061570N,0151220W,Non-Fatal,Substantial,Airplane,N9488D,PIPER,PA-18-150,No,1.0,Reciprocating,091,BECK JOSEPH S,0.0,0.0,0.0,Visual Meteorological Conditions,The pilots selection of unsuitable terrain for taxi.,2020-09-25
71996,20120620X91512,Accident,WPR12CA270,2012-06-17,"Adelanto, CA",United States,034329N,1172723W,Non-Fatal,Substantial,Airplane,N686KB,FISHER HAROLD R,320,Yes,1.0,Reciprocating,091,Timothy and Nancy McCarron,0.0,0.0,0.0,Visual Meteorological Conditions,The pilot's failure to maintain clearance from a fence during takeoff initial climb. Contributing to the accident was the pilot's decision to not use all of the runway distance available for takeoff and the high density altitude.,2020-09-25
72000,20120711X32051,Accident,ERA12CA439,2012-06-17,"Frederick, MD",United States,039253N,0772228W,Non-Fatal,Substantial,Airplane,N387AF,CESSNA,172S,No,1.0,Reciprocating,091,KAUFMAN AIR INC,0.0,0.0,0.0,Visual Meteorological Conditions,"The pilot's inadequate landing flare, which resulted in a hard landing.",2020-09-25
72001,20120618X00755,Accident,ERA12LA401,2012-06-18,"Atlanta, GA",United States,325225N,0841811W,Non-Fatal,Substantial,Airplane,N826JH,BEECH,400A,No,2.0,Turbo Jet,091,N79TE LLC,0.0,2.0,2.0,Visual Meteorological Conditions,"The flight crew's failure to obtain the proper airspeed for landing, which resulted in the airplane touching down too fast with inadequate runway remaining to stop and a subsequent runway overrun. Contributing to the accident were the failure of either pilot to call for a go-around and the flight crew's poor crew resource management and lack of professionalism.",2020-09-25
72003,20120618X13514,Incident,CEN12IA377,2012-06-18,"Lacon, IL",United States,004118N,0089239W,Non-Fatal,Minor,Airplane,N4350T,PIPER,PA-28R-200,No,1.0,Reciprocating,091,MARSHALL COUNTY FLYING CLUB INC,0.0,0.0,0.0,Visual Meteorological Conditions,"The propeller blades failure due to a fatigue crack that originated from a surface gouge that resulted from foreign object damage to the propeller blade that occurred at an unknown time.",2020-09-25
72004,20120619X52353,Accident,CEN12LA381,2012-06-18,"Farmersville, OH",United States,394145N,0842654W,Non-Fatal,Substantial,Airplane,N7075H,PIPER,J3C-65,No,1.0,Reciprocating,091,CALVERT JARED C,0.0,0.0,1.0,Visual Meteorological Conditions,The pilot did not maintain directional control of the airplane on takeoff after noting reduced engine power in high density altitude.,2020-09-25
72005,20120629X40904,Accident,CEN12CA405,2012-06-18,"Glencoe, MN",United States,444521N,0094453W,Non-Fatal,Substantial,Airplane,N59334,BOEING,A75N1(PT17),No,1.0,Reciprocating,091,PERSCHAU DANIEL F,0.0,0.0,0.0,Visual Meteorological Conditions,The pilot's failure to maintain directional control of the airplane during the landing roll.,2020-09-25
72006,20120619X40324,Accident,WPR12CA269,2012-06-19,"Pullman, WA",United States,464437N,0117634W,Non-Fatal,Substantial,Airplane,N2580D,CESSNA,170B,No,1.0,Reciprocating,091,Inter-State Aviation,0.0,0.0,0.0,Visual Meteorological Conditions,The pilots failure to maintain directional control of the airplane while landing in gusting crosswind conditions and the flight instructors delayed remedial action.,2020-09-25
72007,20120621X23704,Accident,ERA12CA408,2012-06-19,"Millington, TN",United States,352155N,0895143W,Non-Fatal,Substantial,Airplane,N4418c,CESSNA,195B,No,1.0,Reciprocating,091,SAGER LAWRENCE B,0.0,1.0,0.0,Visual Meteorological Conditions,The pilot's failure to maintain directional control during the landing roll.,2020-09-25
72008,20120621X82706,Accident,ERA12CA407,2012-06-19,"Lake Wales, FL",United States,275322N,0081378W,Non-Fatal,Substantial,Airplane,N373CA,PIPER,PA-28-161,No,1.0,Reciprocating,091,JULES AIRCRAFT INC,0.0,0.0,0.0,Visual Meteorological Conditions,"The flight instructors inadequate supervision of the student pilots power management, which resulted in a hard landing. Contributing to the accident was the student pilot's premature power reduction during the landing flare.",2020-09-25
72009,20120620X93008,Accident,WPR12CA271,2012-06-20,"Okanogan, WA",United States,482135N,1193226W,Non-Fatal,Substantial,Airplane,N6861K,GRUMMAN ACFT ENG COR-SCHWEIZER,G-164B,No,1.0,Reciprocating,137,SMITH & MURDOCK LLC,0.0,0.0,1.0,Visual Meteorological Conditions,The pilot's failure to maintain clearance from power lines while maneuvering.,2020-09-25
72011,20120622X80128,Accident,ANC12LA056,2012-06-20,"Deadhorse, AK",United States,006991N,1484928W,Non-Fatal,Substantial,Airplane,N295SC,HELIO,H-295-1400,No,1.0,Reciprocating,091,JAGO RIVER HOLDINGS LLC,0.0,0.0,2.0,Visual Meteorological Conditions,"The pilot's failure to extend the airplanes wing flaps before takeoff and her selection of an unsuitable takeoff area, which resulted in a collision with a concrete loading ramp during the aborted takeoff.",2020-09-25
72013,20120718X21142,Accident,WPR12CA308,2012-06-20,"Cascade, ID",United States,442932N,0116053W,Non-Fatal,Substantial,Airplane,N5351D,CESSNA,180A,No,1.0,Reciprocating,091,SPLAN DAVE,0.0,0.0,0.0,Visual Meteorological Conditions,The pilots failure to maintain directional control during the landing roll.,2020-09-25
72016,20120621X11954,Accident,CEN12LA387,2012-06-21,"Santa Teresa, NM",United States,315250N,1064212W,Non-Fatal,Substantial,Airplane,N4702R,Cessna,R182,No,1.0,Reciprocating,091,"Marine Military Academy (Air Wing), Inc.",0.0,0.0,0.0,Visual Meteorological Conditions,The pilots failure to ensure that the landing gear was down and locked before landing.,2020-09-25
72020,20120627X62804,Accident,CEN12CA399,2012-06-21,"Point Lookout, MO",United States,363734N,0931344W,Non-Fatal,Substantial,Airplane,N53WE,EDSON ROBERT W,PIETENPOL AIR CAMPER,Yes,1.0,Reciprocating,091,EDSON ROBERT WAYNE,0.0,0.0,0.0,Visual Meteorological Conditions,"The pilot's failure to maintain directional control during landing, resulting in a ground-loop.",2020-09-25
72023,20120622X22743,Accident,ERA12FA409,2012-06-22,"Morgantown, WV",United States,394145N,0794544W,Fatal,Substantial,Airplane,N508GT,RAYTHEON AIRCRAFT COMPANY,C90GT,No,2.0,Turbo Prop,091,OZ GAS AVIATION LLC,1.0,0.0,0.0,Visual Meteorological Conditions,"The pilot's inadequate preflight route planning and in-flight route and altitude selection, which resulted in an in-flight collision with a communications tower in possible instrument meteorological conditions. Contributing to the accident were the pilot's improper use of the enhanced ground proximity warning system's terrain inhibit switch and the air traffic controller's failure to issue a safety alert regarding the proximity of the tower.",2020-09-25
72024,20120623X90739,Accident,ERA12LA410,2012-06-22,"Atlantic Ocean, AO",United States,037386N,0725140W,Non-Fatal,Substantial,Airplane,N40985,PIPER,J5A,No,1.0,Reciprocating,091,Edward P. Bulger,0.0,0.0,0.0,Visual Meteorological Conditions,A loss of engine power for reasons that could not be determined because the aircraft sank after ditching and was not recovered.,2020-09-25
72025,20120710X40020,Accident,ERA12CA437,2012-06-22,"Meridianville, AL",United States,345141N,0863327W,Non-Fatal,Substantial,Airplane,N5527S,CESSNA,TR182,No,1.0,Reciprocating,091,KUEHLTHAU ROBERT L,0.0,0.0,0.0,Visual Meteorological Conditions,"The pilot's inadequate landing flare, which resulted in a hard, bounced landing.",2020-09-25
72026,20120718X22218,Accident,WPR12LA309,2012-06-22,"Rock Springs, WY",United States,413549N,0109354W,Non-Fatal,Substantial,Airplane,N4972M,BEECH,A36,No,1.0,Reciprocating,091,Jana VanAmburg,0.0,0.0,0.0,Visual Meteorological Conditions,The total loss of engine power due to fuel starvation because of the incorrectly installed fuel cap. Contributing to the accident was the pilots decision to continue the flight using fuel from the left fuel tank after she observed fuel streaming from the left fuel tank cap.,2020-09-25
72027,20120718X75839,Accident,CEN12LA456,2012-06-22,"Metropolis, IL",United States,037119N,0088452W,Non-Fatal,Substantial,Airplane,N43840,Piper,PA-46-310P,No,1.0,Reciprocating,091,"Ware Resources, LLC",0.0,0.0,0.0,Visual Meteorological Conditions,Landing gear collapse for reasons that could not be determined because testing could not replicate the problem.,2020-09-25
72029,20120625X10618,Accident,CEN12LA389,2012-06-23,"Pueblo, CO",United States,381721N,1042947W,Non-Fatal,Substantial,Airplane,N2051P,Hoyle,Fighter Escort Wings,Yes,1.0,Reciprocating,091,Clifford L. Hoyle,0.0,0.0,0.0,Visual Meteorological Conditions,"An internal failure of one of the electrical systems two batteries combined with the inadequate electrical system design, which resulted in a total loss of engine power.",2020-09-25
72030,20120625X23356,Accident,CEN12CA391,2012-06-23,"Mexico, MO",United States,391228N,0091567W,Non-Fatal,Substantial,Airplane,N1380K,LUSCOMBE,8A,No,1.0,Reciprocating,091,KOEBEL ALLAN TRUSTEE,0.0,0.0,0.0,Visual Meteorological Conditions,"The airplane's encounter with a downdraft during the landing flare, which resulted in a hard landing.",2020-09-25
72031,20120625X31218,Accident,ANC12CA057,2012-06-23,"Tyonek, AK",United States,605930N,1513930W,Non-Fatal,Substantial,Airplane,N466RV,CHAMPION,7GCB,No,1.0,Reciprocating,091,HICKS STEPHEN J,0.0,0.0,0.0,Visual Meteorological Conditions,"The pilot's failure to maintain adequate airspeed, which resulted in an inadvertent stall while maneuvering.",2020-09-25
72032,20120625X91955,Accident,CEN12LA388,2012-06-23,"Mamou, LA",United States,304151N,0922450W,Non-Fatal,Substantial,Airplane,N8380M,CESSNA,A150K,No,1.0,Reciprocating,091,Kyle B. Spears,0.0,0.0,0.0,Visual Meteorological Conditions,"The pilot's inadequate preflight inspection, which resulted in a partial loss of engine power due to fuel contamination.",2020-09-25
72033,20120626X81948,Accident,ERA12CA414,2012-06-23,"West Milford, NJ",United States,041726N,0742028W,Non-Fatal,Substantial,Airplane,N30163,CESSNA,177,No,1.0,Reciprocating,091,RUTHERFORD STEPHEN,0.0,0.0,0.0,Visual Meteorological Conditions,"The pilot's improper full flap retraction while performing a go-around maneuver, which resulted in a loss of airplane control.",2020-09-25
72035,20120624X73746,Accident,ERA12LA411,2012-06-24,"Portland, ME",United States,433716N,0701224W,Fatal,Substantial,Airplane,N39443,UNIVERSAL STINSON,108,No,1.0,Reciprocating,091,HANSON LOUIS A,1.0,0.0,0.0,Visual Meteorological Conditions,"A fatigue failure of the No. 3 piston skirt, which resulted in a total loss of engine power and the subsequent ditching in the ocean.",2020-09-25
72036,20120625X12447,Accident,ERA12CA413,2012-06-24,"Hurlock, MD",United States,384047N,0755138W,Non-Fatal,Substantial,Airplane,N9542V,MOONEY,M10,No,1.0,Reciprocating,091,Matthew D. Sommer,0.0,1.0,0.0,Visual Meteorological Conditions,The pilot's failure to see and avoid power lines during final approach to landing.,2020-09-25
72038,20120629X92450,Accident,CEN12LA404,2012-06-24,"Shelbyville, IN",United States,393034N,0855338W,Non-Fatal,Substantial,Weight-Shift,UNREG,Destiny,2000,No,1.0,Reciprocating,UNK,Armel G. Taylor,0.0,0.0,1.0,Visual Meteorological Conditions,The operation of the aircraft by a non-certificated pilot and his failure to plan for the high density altitude and to maintain control of the aircraft.,2020-09-25
72039,20120703X01944,Accident,WPR12LA286,2012-06-24,"Watsonville, CA",United States,036568N,1214722W,Non-Fatal,Substantial,Airplane,N55DN,CESSNA,182,No,1.0,Reciprocating,091,Skydive Surfcity,0.0,1.0,0.0,Visual Meteorological Conditions,A total loss of engine power during approach for reasons that could not be determined because postaccident examination did not reveal any mechanical malfunctions or failures that would have precluded normal operation.,2020-09-25
72040,20120703X02730,Accident,WPR12CA288,2012-06-24,"Richland, WA",United States,461820N,1191815W,Non-Fatal,Substantial,Glider,N505JL,DG-FLUGZEUGBAU GMBH,DG-500MB,No,1.0,Reciprocating,091,SLS PARTNERSHIP LTD,0.0,1.0,0.0,Visual Meteorological Conditions,"The failure of the spoilers to retract because the right wing spoilers lower plate became jammed, which resulted in the glider not having enough lift to make it to the runway surface.",2020-09-25
72041,20120703X04805,Accident,WPR12LA290,2012-06-24,"Heber City, UT",United States,402854N,1112543W,Non-Fatal,Substantial,Airplane,N117Z,BURLEIGH,BEARHAWK,Yes,1.0,Reciprocating,091,Edwin Thiel,0.0,0.0,0.0,Visual Meteorological Conditions,"The pilots failure to maintain directional control during the landing roll, which resulted in a ground loop.",2020-09-25
72042,20120703X10127,Accident,WPR12LA292,2012-06-24,"Brewster, WA",United States,048617N,1194314W,Non-Fatal,Substantial,Helicopter,N9043N,SIKORSKY,S-58B,No,1.0,Reciprocating,137,VERSATILE INVESTMENTS LTD,0.0,0.0,0.0,Visual Meteorological Conditions,An in-flight fire during hover for reasons that could not be determined due to the extent of fire damage that subsequently consumed the structure.,2020-09-25
72043,20120703X91239,Accident,CEN12CA415,2012-06-24,"Richmond, IN",United States,394522N,0845034W,Non-Fatal,Substantial,Airplane,N8788W,PIPER,PA-28-235,No,1.0,Reciprocating,091,John Lewis,0.0,0.0,0.0,Visual Meteorological Conditions,"The pilots failure to ensure that the fuel selector was properly positioned, which resulted in a total loss of engine power due to fuel starvation.",2020-09-25
72046,20120627X90622,Accident,ANC12LA058,2012-06-25,"Gustavus, AK",United States,582220N,1353619W,Non-Fatal,Substantial,Airplane,N8908N,PIPER,PA-32-300,No,1.0,Reciprocating,135,AIR EXCURSIONS LLC,0.0,0.0,0.0,Visual Meteorological Conditions,"The fatigue failure of the engine crankshaft for reasons that could not be determined during postaccident metallurgical examination.",2020-09-25
72051,20120628X22112,Accident,CEN12CA402,2012-06-26,"Grinnell, IA",United States,414221N,0092445W,Non-Fatal,Substantial,Helicopter,N488MC,SCHWEIZER(HUGHES)AIRCRAFT CORP,TH55A/269A,No,1.0,Reciprocating,091,Lowry Flying Service,0.0,0.0,0.0,Visual Meteorological Conditions,"The pilots inadequate compensation for the wind during a hovering maneuver, which resulted in a loss of tail rotor effectiveness and directional control.",2020-09-25
72052,20120628X74946,Accident,ERA12CA419,2012-06-26,"West Palm Beach, FL",United States,265045N,0801320W,Non-Fatal,Substantial,Airplane,N961MC,CESSNA,172S,No,1.0,Reciprocating,091,Palm Beach Flight Training,0.0,0.0,0.0,Visual Meteorological Conditions,The flight instructors failure to maintain airplane control during the takeoff in gusting crosswind conditions.  Contributing to the accident was the flight instructors decision to conduct takeoffs and landings in conditions exceeding the airplanes maximum demonstrated crosswind capability.,2020-09-25
72056,20120628X15555,Accident,WPR12LA277,2012-06-27,"Vancouver, WA",United States,453713N,1223917W,Fatal,Substantial,Airplane,N645GR,REHN,KITFOX IV,Yes,1.0,Reciprocating,091,WOODWARD HANNIBAL F,1.0,0.0,1.0,Visual Meteorological Conditions,"The pilot's failure to maintain airspeed during an attempt to return to the runway immediately after takeoff, which resulted in an aerodynamic stall. Contributing to the accident was foreign debris in the right-hand carburetor bowl, which precipitated a loss of engine power.",2020-09-25
72059,20120628X95014,Accident,ERA12CA420,2012-06-27,"Smyrna, TN",United States,034540N,0863112W,Non-Fatal,Substantial,Airplane,N80985,CESSNA,172M,No,1.0,Reciprocating,091,MYBURGH BEN,0.0,0.0,0.0,Visual Meteorological Conditions,"The pilots inadequate flare and improper recovery from a bounced landing, which resulted in a hard landing.",2020-09-25
72060,20120703X02421,Accident,WPR12CA287,2012-06-27,"Paulden, AZ",United States,345436N,0112322W,Non-Fatal,Substantial,Airplane,N43087,TAYLORCRAFT,BC12-D,No,1.0,Reciprocating,091,MITCHELL HAROLD A,0.0,0.0,0.0,Visual Meteorological Conditions,The pilots failure to maintain directional control during the landing roll.,2020-09-25
72061,20120712X21254,Accident,CEN12LA434,2012-06-27,"New Orleans, LA",United States,030232N,0090141W,Non-Fatal,Substantial,Airplane,N136EH,BEECH,A36,No,1.0,Reciprocating,091,HATFIELD ENTERPRISES LLC,0.0,0.0,0.0,Visual Meteorological Conditions,The pilot's failure to lower the landing gear before touchdown.,2020-09-25
72063,20120628X51812,Accident,CEN12CA403,2012-06-28,"Minden, NE",United States,403053N,0985644W,Non-Fatal,Substantial,Airplane,N3299Z,AYRES CORPORATION,S2R-G10,No,1.0,Turbo Prop,137,CAMPBELL AERIAL SPRAYING INC,0.0,0.0,0.0,Visual Meteorological Conditions,The pilots failure to maintain clearance from the wake turbulence from a previous pass.,2020-09-25
72064,20120629X30512,Accident,WPR12FA280,2012-06-28,"Kooskia, ID",United States,046750N,1145537W,Fatal,Substantial,Airplane,N63WY,AVIAT,A-1C-180,No,1.0,Reciprocating,091,Jahn Ashtiani,1.0,0.0,0.0,Visual Meteorological Conditions,"The pilot's decision to attempt a takeoff with a gusty tailwind, which resulted in his loss of airplane control during the initial climb and an aerodynamic stall/spin.",2020-09-25
72066,20120703X82414,Accident,ERA12CA427,2012-06-28,"Sussex, NJ",United States,041121N,0743714W,Non-Fatal,Substantial,Airplane,N5143D,CESSNA,182A,No,1.0,Reciprocating,091,Anselm Winston Dewar,0.0,0.0,0.0,Visual Meteorological Conditions,"The pilots delayed decision to abort the landing and perform a go-around, which resulted in a runway overrun.",2020-09-25
72067,20120703X93512,Accident,CEN12CA416,2012-06-28,"Omaha, NE",United States,411145N,0096644W,Non-Fatal,Substantial,Gyrocraft,N447PM,MICHAEL A HOWARD,DOMINATOR,Yes,1.0,Reciprocating,091,HOWARD MICHAEL A,0.0,1.0,0.0,Visual Meteorological Conditions,"A nosewheel shimmy on takeoff, which resulted in the failure of the nosewheel landing gear and a loss of control.",2020-09-25
72068,20120705X82945,Accident,ANC12CA063,2012-06-28,"King Salmon, AK",United States,584022N,1563833W,Non-Fatal,Substantial,Airplane,N8470Y,PIPER,PA-32-301,No,1.0,Reciprocating,135,PENINSULA AIRWAYS INC,0.0,0.0,0.0,Visual Meteorological Conditions,An in-flight collision with a bird during cruise flight.,2020-09-25
